[3] 3:53:10 PM: Log started for 'C:\Tosca_Projects\TOSCA_Workspaces\Harvey Norman\Harvey Norman.tws'
[3] 3:53:10 PM: Log level: 4
[3] 3:53:10 PM: Release: 12.0.0.19268
[4] 3:57:15 PM:  ShowStatusInfo: 'Refresh detail view 'Requirements''
[4] 3:57:15 PM:  ShowStatusInfo: 'Refresh detail view 'TestCaseDesign''
[4] 3:57:15 PM:  ShowStatusInfo: 'Refresh detail view 'Execution''
[4] 3:57:15 PM:  ShowStatusInfo: 'Refresh detail view 'Issues''
[4] 3:57:15 PM:  ShowStatusInfo: 'Refresh detail view 'Configurations''
[4] 3:57:15 PM:  ShowStatusInfo: 'Refresh detail view 'TestCases''
[4] 3:57:15 PM:  ShowStatusInfo: 'Refresh detail view 'Modules''
[4] 3:57:15 PM:  ShowStatusInfo: 'Ready'
[4] 3:57:15 PM:  ShowStatusInfo: 'Refresh  'WindowLabels''
[4] 3:57:15 PM:  ShowStatusInfo: 'Refresh all finished'
[4] 3:57:15 PM:  ShowStatusInfo: 'Waiting for Scan Result ...'
[4] 3:57:18 PM:  ShowStatusInfo: 'Scan finished ...'
[4] 3:57:18 PM:  ShowStatusInfo: 'Ready'
[4] 3:57:18 PM:  ShowStatusInfo: 'Desktop Scan finalizing ... '
[4] 3:57:18 PM:  ShowStatusInfo: 'Refresh navigation view 'Requirements''
[4] 3:57:18 PM:  ShowStatusInfo: 'Refresh navigation view 'TestCaseDesign''
[4] 3:57:18 PM:  ShowStatusInfo: 'Refresh navigation view 'Execution''
[4] 3:57:18 PM:  ShowStatusInfo: 'Refresh navigation view 'Issues''
[4] 3:57:18 PM:  ShowStatusInfo: 'Refresh navigation view 'Configurations''
[4] 3:57:18 PM:  ShowStatusInfo: 'Refresh navigation view 'TestCases''
[4] 3:57:18 PM:  ShowStatusInfo: 'Refresh navigation view 'Modules''
[4] 3:57:18 PM:  ShowStatusInfo: 'Ready'
[4] 3:57:18 PM:  ShowStatusInfo: 'Refresh detail view 'Requirements''
[4] 3:57:18 PM:  ShowStatusInfo: 'Refresh detail view 'TestCaseDesign''
[4] 3:57:18 PM:  ShowStatusInfo: 'Refresh detail view 'Execution''
[4] 3:57:18 PM:  ShowStatusInfo: 'Refresh detail view 'Issues''
[4] 3:57:18 PM:  ShowStatusInfo: 'Refresh detail view 'Configurations''
[4] 3:57:18 PM:  ShowStatusInfo: 'Refresh detail view 'TestCases''
[4] 3:57:18 PM:  ShowStatusInfo: 'Refresh detail view 'Modules''
[4] 3:57:18 PM:  ShowStatusInfo: 'Ready'
[4] 3:57:18 PM:  ShowStatusInfo: 'Refresh  'WindowLabels''
[4] 3:57:18 PM:  ShowStatusInfo: 'Refresh all finished'
[4] 3:57:18 PM:  ShowStatusInfo: 'Desktop Scan finished'
[3] 3:57:18 PM: Task 'Scan Application Desktop Scan' finished
[4] 3:57:22 PM:  ShowStatusInfo: '1 object selected'
[4] 3:57:22 PM:  ShowStatusInfo: 'Ready'
[4] 3:57:33 PM:  ShowStatusInfo: '1 object selected'
[4] 3:57:34 PM:  ShowStatusInfo: 'Refresh navigation view 'TestCases''
[4] 3:57:34 PM:  ShowStatusInfo: 'Ready'
[4] 3:57:34 PM:  ShowStatusInfo: 'Refresh detail view 'TestCases''
[4] 3:57:34 PM:  ShowStatusInfo: 'Ready'
[4] 3:57:34 PM:  ShowStatusInfo: 'Refresh view finished'
[4] 3:57:35 PM:  ShowStatusInfo: 'Ready'
[4] 3:57:36 PM:  ShowStatusInfo: '1 object selected'
[4] 3:57:36 PM:  ShowStatusInfo: 'Ready'
[4] 3:57:37 PM:  ShowStatusInfo: '1 object selected'
[4] 3:57:37 PM:  ShowStatusInfo: 'Ready'
[4] 3:57:37 PM:  ShowStatusInfo: '1 object selected'
[4] 3:57:37 PM:  ShowStatusInfo: 'Ready'
[3] 3:57:38 PM: Task 'Create Folder' started on '/TestCases/Harvey Norman'
